Erp Item Code,Item Id,Item Description,Location Id,Qty On Hand,Qty Reserved,Qty Available,Unit Of Measure,Par Level,Reorder Point,Reorder Required,Supplier Id,Estimated Stock Value Gbp
EQU-721574,INV-EQUI-ARTHROSCOPY_STACK_SYSTEM_WITH_,Arthroscopy stack system with HD camera,LOC-STOCK-05,1,0,1,device,6,2,Yes,SUP-DEPUY,"GBP 3,720.67"
 EQU-969500 ,INV-EQUI-C_ARM_IMAGE_INTENSIFIER,C-Arm Image Intensifier,LOC-STOCK-03, 2 , 2 ,0,device,2, 1 ,Y, SUP-DEPUY ,"GBP 20,267.32"
 EQU-624991 ,INV-EQUI-CEMENT_VACUUM_FOOT_PUMP, Cement Vacuum Foot Pump ,LOC-STOCK-04,4, 2 ,2,device,2,1,No, SUP-DEPUY ,"GBP 10,783.12"
EQU-850094,INV-EQUI-CEMENT_VACUUM_FOOTPUMP,Cement Vacuum Footpump,LOC-STOCK-05, 0 , 0 , 0 , device , 4 , 1 ,Yes,SUP-DEPUY,GBP 0.00
EQU-431764,INV-EQUI-DIATHERMY_MACHINE,Diathermy Machine,LOC-STOCK-01, 2 , 1 , 1 ,device,2,1,Yes,SUP-STRYKER,"GBP 9,959.70"
EQU-118965,INV-EQUI-JACKSON_SPINAL_SURGERY_TABLE,Jackson Spinal Surgery Table,LOC-STOCK-01,4,4,0,device,2,1,Y,SUP-DEPUY,"GBP 21,627.96"
EQU-194607,INV-EQUI-MIDAS_REX_SPINE_SHAVER_DRILL,Midas Rex Spine Shaver / Drill,LOC-STOCK-01,3,1,2, device , 5 , 2 ,Y,SUP-MEDTRONIC,"GBP 5,995.74"
EQU-394875,INV-EQUI-STANDARD_DIATHERMY_MACHINE,Standard Diathermy Machine,LOC-STOCK-03,3, 0 , 3 ,device,4,1,N,SUP-SN,"GBP 14,934.54"
 EQU-105135 ,INV-EQUI-STRYKER_SMARTPUMP_TOURNIQUET_S, Stryker SmartPump Tourniquet System ,LOC-STOCK-03,1,0, 1 ,device, 2 ,1,Y,SUP-STRYKER,"GBP 1,847.21"
EQU-997622,INV-EQUI-STRYKER_SYSTEM_8_POWER_TOOL_KI,Stryker System 8 Power Tool Kit,LOC-STOCK-02, 1 , 1 ,0,device,2,1,Y,SUP-STRYKER,"GBP 8,022.96"
EQU-214109,INV-EQUI-SUCTION_MACHINE,Suction Machine,LOC-STOCK-02,1,1,0,device,3,1,Yes,SUP-DEPUY,"GBP 1,321.49"
DRA-518422,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,LOC-STOCK-02,6,2, 4 ,pack, 11 , 5 ,Yes,SUP-UNISURGE,GBP 78.84
DRA-518422,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK,Ankle Arthroscopy Drape Pack,LOC-STOCK-01, 29 , 1 ,28,pack, 47 ,16,N, SUP-UNISURGE ,"GBP 1,541.93"
DRA-518422,INV-DRAP-ANKLE_ARTHROSCOPY_DRAPE_PACK, Ankle Arthroscopy Drape Pack ,LOC-STOCK-04,25,5,20, pack , 35 ,15,N,SUP-UNISURGE,GBP 555.50
DRA-851239,INV-DRAP-APPROACH_DRAPE, Approach Drape ,LOC-STOCK-01,18,4, 14 ,pack,31, 8 ,No,SUP-ZIMMER,"GBP 1,226.52"
DRA-851239,INV-DRAP-APPROACH_DRAPE,Approach Drape,LOC-STOCK-03,44,3,41, pack ,37,12,No, SUP-ZIMMER ,"GBP 2,103.64"
 DRA-851239 ,INV-DRAP-APPROACH_DRAPE,Approach Drape,LOC-STOCK-04, 41 ,4, 37 ,pack, 48 ,17,N,SUP-ZIMMER,"GBP 1,375.96"
DRA-626617,INV-DRAP-BROWN_STOCKINETTE_UNISURGE_15C,"Brown Stockinette (Unisurge, 15cm x 1.5m, REF: F825195)",LOC-STOCK-02, 28 ,3,25,pack, 7 , 2 ,No, SUP-ZIMMER ,GBP 983.36
DRA-783790,INV-DRAP-EXTREMITY_DRAPE,Extremity Drape,LOC-STOCK-01,21,0, 21 , pack , 9 ,3,No,SUP-NHS-SUPPLY,GBP 539.28
DRA-710083,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOC-STOCK-05,26, 4 ,22,pack,38, 15 ,No,SUP-UNISURGE,"GBP 1,447.16"
DRA-710083,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P, Hand and Foot Aperture Drape Pack ,LOC-STOCK-01,28,4,24,pack,39, 16 ,N,SUP-UNISURGE,"GBP 2,186.24"
DRA-710083,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOC-STOCK-02, 28 , 2 , 26 ,pack, 6 ,2,No, SUP-UNISURGE ,GBP 951.44
DRA-710083,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOC-STOCK-04,21, 3 , 18 ,pack,32,10,N, SUP-UNISURGE ,"GBP 1,451.73"
DRA-347161,INV-DRAP-HIP_FRACTURE_DRAPE_PACK,Hip Fracture Drape Pack,LOC-STOCK-05,42,3,39, pack , 14 ,5,N,SUP-NHS-SUPPLY,GBP 832.02
DRA-347161,INV-DRAP-HIP_FRACTURE_DRAPE_PACK, Hip Fracture Drape Pack ,LOC-STOCK-04, 43 ,2,41,pack,9, 4 ,N,SUP-NHS-SUPPLY,"GBP 1,898.02"
DRA-454767,INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),LOC-STOCK-04,16,1, 15 ,pack,47, 16 ,Yes,SUP-NHS-SUPPLY,"GBP 1,318.56"
DRA-454767,INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),LOC-STOCK-05,35,1,34,pack,26,11,N,SUP-NHS-SUPPLY,"GBP 1,252.65"
DRA-698030,INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,LOC-STOCK-05,16,1,15,pack,28,9,N,SUP-ARTHREX,GBP 988.32
DRA-698030,INV-DRAP-PLASTIC_U_DRAPE, Plastic U drape ,LOC-STOCK-04, 17 ,2, 15 , pack , 20 ,7,No,SUP-ARTHREX,"GBP 1,235.56"
DRA-698030,INV-DRAP-PLASTIC_U_DRAPE,Plastic U drape,LOC-STOCK-03,44,2, 42 ,pack,24,6,No,SUP-ARTHREX,"GBP 2,643.52"
DRA-532869,INV-DRAP-REINFORCED_ADHESIVE_EDGE_DRAPE,Reinforced Adhesive Edge Drape (150x240cm) x 2 (For the side and the extension for the bottom),LOC-STOCK-05, 55 ,4,51,pack,31,13,N,SUP-SN,"GBP 2,693.90"
 DRA-720989 ,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOC-STOCK-05,6,5,1,pack,18,5,Yes,SUP-NHS-SUPPLY,GBP 355.26
DRA-720989,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOC-STOCK-02, 20 , 5 , 15 , pack ,14,5,N,SUP-NHS-SUPPLY,GBP 997.40
DRA-720989,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOC-STOCK-04,27,5, 22 ,pack, 10 ,3,No, SUP-NHS-SUPPLY ,"GBP 1,484.19"
DRA-941107,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,LOC-STOCK-04, 22 , 0 ,22,pack,44, 12 ,N, SUP-ARTHREX ,"GBP 1,599.18"
DRA-941107,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,LOC-STOCK-05,17, 2 ,15, pack ,38,15,Y,SUP-ARTHREX,GBP 794.92
DRA-941107,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC, Shoulder Arthroscopy Drape Pack ,LOC-STOCK-03,8, 5 , 3 ,pack,29,11,Y,SUP-ARTHREX,GBP 163.20
DRA-439863,INV-DRAP-SHOULDER_SPLIT_SHEET_PACK,Shoulder Split Sheet Pack,LOC-STOCK-05,19, 4 ,15,pack, 10 , 3 ,No,SUP-SN,GBP 450.11
DRA-419954,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOC-STOCK-02,44,5,39, pack , 7 , 2 ,N,SUP-NHS-SUPPLY,"GBP 2,639.12"
DRA-419954,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOC-STOCK-04,16,3,13,pack, 28 ,8,N,SUP-NHS-SUPPLY,GBP 646.24
 DRA-419954 ,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOC-STOCK-05,43, 6 ,37,pack,19,5,N,SUP-NHS-SUPPLY,"GBP 1,102.95"
DRA-770198,INV-DRAP-TOTAL_HIP_DRAPE_PACK,Total Hip Drape Pack,LOC-STOCK-05,33,5,28, pack , 12 ,4,N,SUP-NHS-SUPPLY,"GBP 2,096.82"
DRA-918871,INV-DRAP-TOTAL_KNEE_ARTHROPLASTY_DRAPE_,Total Knee Arthroplasty Drape Pack,LOC-STOCK-02, 11 , 0 ,11,pack,40,10,No,SUP-UNISURGE,GBP 278.96
DRA-492540,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,LOC-STOCK-04,70,6, 64 , pack , 29 ,11,N,SUP-UNISURGE,"GBP 3,327.10"
 DRA-492540 ,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,LOC-STOCK-05,15, 3 , 12 ,pack,36,12,Yes,SUP-UNISURGE,GBP 496.20
DRA-492540,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK, Universal Extremity Drape Pack ,LOC-STOCK-03,7,3,4,pack, 50 , 15 ,Yes,SUP-UNISURGE,GBP 153.79
 DRA-629789 ,INV-DRAP-WATER_REPELLENT,Water Repellent,LOC-STOCK-03,18,2, 16 ,pack,34, 13 ,N, SUP-UNISURGE ,GBP 511.38
CON-266520,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,LOC-STOCK-05,134,0, 134 , bottle , 40 ,11,No,SUP-DEPUY,"GBP 7,304.34"
CON-266520,INV-CONS-ARTHROSCOPY_FLUID_3L, Arthroscopy Fluid 3L ,LOC-STOCK-01,73,5,68,bottle, 62 ,26,N, SUP-DEPUY ,"GBP 3,071.11"
CON-266520,INV-CONS-ARTHROSCOPY_FLUID_3L, Arthroscopy Fluid 3L ,LOC-STOCK-03, 71 , 3 ,68,bottle, 223 , 69 ,Yes,SUP-DEPUY,"GBP 1,785.65"
 CON-266520 ,INV-CONS-ARTHROSCOPY_FLUID_3L, Arthroscopy Fluid 3L ,LOC-STOCK-02, 34 , 5 ,29,bottle,19,6,N,SUP-DEPUY,"GBP 1,902.64"
CON-757766,INV-CONS-BETADINE_PREP_SOLUTION, Betadine Prep Solution ,LOC-STOCK-02, 60 , 0 ,60,each,40, 12 ,No,SUP-NHS-SUPPLY,"GBP 3,255.60"
 CON-757766 ,INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,LOC-STOCK-03, 90 , 4 ,86,each,188, 68 ,No,SUP-NHS-SUPPLY,"GBP 2,302.20"
CON-757766,INV-CONS-BETADINE_PREP_SOLUTION, Betadine Prep Solution ,LOC-STOCK-01, 113 ,5, 108 ,each,167, 54 ,No,SUP-NHS-SUPPLY,"GBP 1,386.51"
CON-757766,INV-CONS-BETADINE_PREP_SOLUTION, Betadine Prep Solution ,LOC-STOCK-04,71,1,70,each,12, 4 ,N,SUP-NHS-SUPPLY,"GBP 3,902.16"
CON-450442,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,LOC-STOCK-04,94,6, 88 ,pack,153,63,N,SUP-NHS-SUPPLY,"GBP 2,501.34"
CON-450442,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,LOC-STOCK-01, 8 , 3 ,5, pack ,169,44,Yes, SUP-NHS-SUPPLY ,GBP 483.20
CON-450442,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,LOC-STOCK-05,41, 3 , 38 ,pack,94, 37 ,No, SUP-NHS-SUPPLY ,"GBP 3,072.54"
 CON-546755 ,INV-CONS-BONE_CEMENT_MIXING_BOWL_KIT,Bone Cement Mixing Bowl Kit,LOC-STOCK-01,125, 1 , 124 , pack ,72,24,N,SUP-UNISURGE,"GBP 5,257.50"
CON-782658,INV-CONS-BONE_WAX,Bone Wax,LOC-STOCK-02, 85 , 0 ,85,pack, 79 ,29,N,SUP-STRYKER,"GBP 5,292.95"
CON-782658,INV-CONS-BONE_WAX,Bone Wax,LOC-STOCK-01, 50 ,5,45, pack ,41, 18 ,No,SUP-STRYKER,"GBP 1,460.00"
CON-165563,INV-CONS-CHLORHEXIDINE_2_APPLICATOR,Chlorhexidine 2% Applicator,LOC-STOCK-04,62,1,61, pack ,227, 79 ,Y,SUP-UNISURGE,"GBP 3,503.00"
CON-939628,INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil,LOC-STOCK-01,129, 7 , 122 ,pack, 83 ,35,N,SUP-ZIMMER,"GBP 1,647.33"
CON-939628,INV-CONS-DIATHERMY_PENCIL, Diathermy Pencil ,LOC-STOCK-02,104, 8 , 96 ,pack,83,37,No,SUP-ZIMMER,"GBP 5,576.48"
 CON-473109 ,INV-CONS-DIATHERMY_TIP,Diathermy Tip,LOC-STOCK-04,158,3, 155 ,each,150,56,No,SUP-STRYKER,"GBP 4,747.90"
CON-586060,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,LOC-STOCK-05,149,5,144,box,151,57,No, SUP-NHS-SUPPLY ,"GBP 8,615.18"
CON-586060,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,LOC-STOCK-02, 138 , 3 , 135 , box , 189 ,81,No,SUP-NHS-SUPPLY,"GBP 3,898.50"
CON-586060,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,LOC-STOCK-04, 69 ,4, 65 ,box,88,39,N,SUP-NHS-SUPPLY,GBP 481.62
CON-932716,INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,LOC-STOCK-04, 289 ,9, 280 , each ,6,2,No,SUP-ZIMMER,"GBP 18,773.44"
CON-932716,INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,LOC-STOCK-03,11,0,11,each, 51 ,15,Y, SUP-ZIMMER ,GBP 964.26
CON-559710,INV-CONS-GAUZE_SWABS_5X5,Gauze Swabs 5x5,LOC-STOCK-05,28,1,27,each,116, 37 ,Yes, SUP-UNISURGE ,"GBP 1,429.96"
CON-559710,INV-CONS-GAUZE_SWABS_5X5,Gauze Swabs 5x5,LOC-STOCK-03, 24 ,3,21,each,212,62,Yes,SUP-UNISURGE,"GBP 1,665.84"
CON-877364,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_1L,Irrigation Fluid 0.9% Saline 1L,LOC-STOCK-04,37, 4 ,33, bottle ,76,23,No,SUP-STRYKER,GBP 202.02
CON-877364,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_1L,Irrigation Fluid 0.9% Saline 1L,LOC-STOCK-01,38, 1 ,37,bottle,23,8,No, SUP-STRYKER ,"GBP 2,535.36"
CON-319329,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,LOC-STOCK-02,74,1,73,bottle,123,34,N, SUP-UNISURGE ,"GBP 5,275.46"
CON-319329,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,LOC-STOCK-03,15,3, 12 ,bottle, 88 ,35,Yes,SUP-UNISURGE,GBP 390.30
CON-319329,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,LOC-STOCK-04,27, 4 ,23,bottle,21, 6 ,No,SUP-UNISURGE,GBP 927.99
CON-468833,INV-CONS-LIGHT_HANDLE_COVERS, Light Handle Covers ,LOC-STOCK-05,34, 5 , 29 , pack ,143, 49 ,Yes,SUP-NHS-SUPPLY,GBP 380.12
CON-468833,INV-CONS-LIGHT_HANDLE_COVERS, Light Handle Covers ,LOC-STOCK-02,11, 3 ,8,pack,180,68,Y,SUP-NHS-SUPPLY,GBP 382.14
CON-528142,INV-CONS-LOCAL_ANAESTHETIC_SYRINGE,Local Anaesthetic Syringe,LOC-STOCK-02,115,1,114,pack,99, 34 ,N,SUP-UNISURGE,"GBP 4,564.35"
CON-461988,INV-CONS-PULSE_LAVAGE_TIP,Pulse Lavage Tip,LOC-STOCK-01, 136 ,1, 135 , box , 217 , 74 ,N,SUP-NHS-SUPPLY,"GBP 10,398.56"
CON-223035,INV-CONS-PUMP_TUBING,Pump Tubing,LOC-STOCK-03, 87 ,4, 83 ,box,173, 45 ,No,SUP-UNISURGE,"GBP 3,787.11"
CON-709173,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,LOC-STOCK-04, 70 ,4, 66 ,box,127,50,N,SUP-NHS-SUPPLY,"GBP 6,463.10"
CON-709173,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,LOC-STOCK-02,70, 3 , 67 ,box,102, 26 ,N,SUP-NHS-SUPPLY,GBP 176.40
CON-709173,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,LOC-STOCK-03,10, 5 , 5 ,box,199,82,Yes,SUP-NHS-SUPPLY,GBP 359.00
 CON-304525 ,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,LOC-STOCK-04, 198 ,3, 195 ,box, 65 , 18 ,N,SUP-DEPUY,"GBP 13,400.64"
CON-444987,INV-CONS-SCALPEL_BLADE_15,Scalpel Blade #15,LOC-STOCK-01,108, 4 ,104,pack,14, 5 ,No,SUP-MEDTRONIC,GBP 664.20
CON-294289,INV-CONS-SHARPS_PAD,Sharps Pad,LOC-STOCK-04,88,5, 83 , each ,208,76,No,SUP-MEDTRONIC,"GBP 2,742.08"
CON-294289,INV-CONS-SHARPS_PAD,Sharps Pad,LOC-STOCK-02, 59 ,4, 55 ,each,84, 23 ,No,SUP-MEDTRONIC,GBP 624.22
CON-489282,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,LOC-STOCK-05, 38 ,1,37,box, 112 ,35,N,SUP-NHS-SUPPLY,"GBP 1,636.66"
CON-489282,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,LOC-STOCK-03,48,5,43,box, 14 ,4,N, SUP-NHS-SUPPLY ,"GBP 3,181.44"
CON-489282,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,LOC-STOCK-01,45,1,44,box,66,27,No,SUP-NHS-SUPPLY,"GBP 4,140.45"
 CON-489282 ,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,LOC-STOCK-02, 74 ,3, 71 , box ,69,21,N, SUP-NHS-SUPPLY ,"GBP 6,010.28"
CON-770641,INV-CONS-STERILE_GLOVES,Sterile Gloves,LOC-STOCK-01, 146 , 4 ,142,pair,35,9,No,SUP-NHS-SUPPLY,"GBP 11,523.78"
CON-272669,INV-CONS-STERILE_GLOVES_PAIR,Sterile Gloves (Pair),LOC-STOCK-02,121,2,119, pair ,89, 30 ,No,SUP-UNISURGE,"GBP 1,435.06"
CON-565597,INV-CONS-STERILE_GOWN,Sterile Gown,LOC-STOCK-04, 109 , 3 ,106,pack,20, 9 ,N,SUP-STRYKER,"GBP 7,082.82"
CON-565597,INV-CONS-STERILE_GOWN,Sterile Gown,LOC-STOCK-03,78, 1 ,77,pack,37,16,N,SUP-STRYKER,GBP 275.34
 CON-237071 ,INV-CONS-SUCTION_TUBING,Suction Tubing,LOC-STOCK-05,113,0,113,each, 129 , 41 ,N, SUP-NHS-SUPPLY ,GBP 967.28
CON-237071,INV-CONS-SUCTION_TUBING,Suction Tubing,LOC-STOCK-02,142,4,138, each ,47, 21 ,No,SUP-NHS-SUPPLY,"GBP 10,729.52"
CON-857627,INV-CONS-SUCTION_YANKAUER_TIP,Suction Yankauer Tip,LOC-STOCK-03,132,4,128,pack, 33 ,8,No,SUP-NHS-SUPPLY,"GBP 4,055.04"
CON-857627,INV-CONS-SUCTION_YANKAUER_TIP, Suction Yankauer Tip ,LOC-STOCK-01, 64 ,2,62,pack,141, 50 ,No,SUP-NHS-SUPPLY,GBP 371.20
CON-857627,INV-CONS-SUCTION_YANKAUER_TIP,Suction Yankauer Tip,LOC-STOCK-02,67, 1 ,66, pack , 8 ,2,No,SUP-NHS-SUPPLY,"GBP 4,186.83"
 CON-918808 ,INV-CONS-SURGICAL_PATTIES,Surgical Patties,LOC-STOCK-05,32,3, 29 ,box,236,75,Y,SUP-ZIMMER,"GBP 1,083.84"
CON-543217,INV-CONS-SUTURE_REMOVAL_KIT, Suture Removal Kit ,LOC-STOCK-05,99, 5 ,94,each,13,5,N,SUP-NHS-SUPPLY,"GBP 6,596.37"
CON-543217,INV-CONS-SUTURE_REMOVAL_KIT,Suture Removal Kit,LOC-STOCK-04,56,2,54,each,54, 22 ,No,SUP-NHS-SUPPLY,GBP 945.28
CON-649955,INV-CONS-SYRINGE_10ML,Syringe 10ml,LOC-STOCK-05,13,0,13,pack,56,16,Yes, SUP-DEPUY ,GBP 411.84
CON-676309,INV-CONS-SYRINGE_20ML,Syringe 20ml,LOC-STOCK-01,191,6,185, each , 88 ,36,No, SUP-DEPUY ,"GBP 10,663.53"
 CON-260264 ,INV-CONS-SYRINGE_50ML, Syringe 50ml ,LOC-STOCK-02, 42 ,3, 39 ,box,33,9,No,SUP-NHS-SUPPLY,"GBP 3,161.76"
CON-777492,INV-CONS-ULTRASOUND_GEL,Ultrasound Gel,LOC-STOCK-05, 151 ,2, 149 ,pack,23,9,No,SUP-NHS-SUPPLY,"GBP 3,231.40"
 CON-777492 ,INV-CONS-ULTRASOUND_GEL,Ultrasound Gel,LOC-STOCK-02, 83 ,5,78,pack, 98 , 35 ,No,SUP-NHS-SUPPLY,GBP 34.86
CON-777492,INV-CONS-ULTRASOUND_GEL,Ultrasound Gel,LOC-STOCK-01,76, 4 ,72,pack, 136 , 38 ,No,SUP-NHS-SUPPLY,"GBP 2,310.40"
DIS-482848,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM, Arthroscopy Shaver Blade 4.0mm ,LOC-STOCK-02, 27 ,2, 25 ,pack, 94 , 27 ,Y,SUP-DEPUY,"GBP 1,449.09"
DIS-769275,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM,Arthroscopy Shaver Blade 5.5mm,LOC-STOCK-02,61,0,61, box , 106 ,34,N,SUP-DEPUY,"GBP 6,303.13"
