Substitution Rule Id,Preferred Item Id,Preferred Item Name,Substitute Item Id,Substitute Item Name,Substitution Type,Approval Required,Applies To Subspecialty,Clinical Notes
SUB-0012,INV-SUTU-MONOCRYL_3_0,Monocryl 3-0,INV-SUTU-VICRYL_1,Vicryl 1,fallback,N, Joint Replacement ,Confirm with scrub practitioner before opening.
SUB-0013,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,INV-DRES-TEGADERM_FOAM,Tegaderm Foam,requires_approval,Y,Joint Replacement,Requires surgeon approval for implant-adjacent use.
SUB-0014,INV-DRES-JELONET,Jelonet,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm, fallback ,No,Sports Medicine,Requires surgeon approval for implant-adjacent use.
SUB-0015,INV-DRES-MEPITEL,Mepitel,INV-DRES-TUBIGRIP_SIZE_C, Tubigrip Size C ,requires_approval,N,Trauma,Use only when preferred stock unavailable.
SUB-0016,INV-DRES-WOOL_AND_CREPE, Wool and Crepe ,INV-DRES-ADAPTIC,Adaptic, requires_approval ,Yes,Joint Replacement, Equivalent product on current local contract. 
SUB-0017,INV-DRES-CREPE_BANDAGE,Crepe Bandage,INV-DRES-OPSITE_FLEXIFIX, Opsite Flexifix ,fallback,Y,Hand Surgery, Equivalent product on current local contract. 
SUB-0018,INV-DRES-TUBIGRIP_SIZE_C,Tubigrip Size C,INV-DRES-AQUACEL_AG,Aquacel Ag,requires_approval,Yes,Trauma, Use only when preferred stock unavailable. 
SUB-0019,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,INV-DRES-TUBIGRIP_SIZE_C,Tubigrip Size C,requires_approval,Y,Any,Use only when preferred stock unavailable.
SUB-0020,INV-DRES-AQUACEL_AG,Aquacel Ag,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,equivalent,N,Hand Surgery,Use only when preferred stock unavailable.
SUB-0021,INV-DRES-PRIMAPORE, Primapore ,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,requires_approval,No, Sports Medicine ,Use only when preferred stock unavailable.
SUB-0022,INV-DRES-MEPORE,Mepore,INV-DRES-CREPE_BANDAGE,Crepe Bandage,equivalent,N,Joint Replacement,Confirm with scrub practitioner before opening.
 SUB-0023 ,INV-DRES-TEGADERM_FOAM,Tegaderm Foam,INV-DRES-WOOL_AND_CREPE,Wool and Crepe, compatible ,Yes,Foot and Ankle,Confirm with scrub practitioner before opening.
SUB-0024,INV-DRES-OPSITE_POST_OP,Opsite Post-Op,INV-DRES-PRIMAPORE, Primapore ,fallback,N,Any,Requires surgeon approval for implant-adjacent use.
 SUB-0025 ,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,INV-CONS-SYRINGE_50ML, Syringe 50ml ,equivalent,No,Trauma,Requires surgeon approval for implant-adjacent use.
SUB-0026,INV-CONS-DIATHERMY_TIP, Diathermy Tip ,INV-CONS-BONE_CEMENT_MIXING_BOWL_KIT,Bone Cement Mixing Bowl Kit,equivalent,No, Trauma ,Requires surgeon approval for implant-adjacent use.
SUB-0027,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,compatible,N,Sports Medicine,Requires surgeon approval for implant-adjacent use.
SUB-0028,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage, requires_approval ,Yes,Foot and Ankle,Use only when preferred stock unavailable.
SUB-0029,INV-CONS-BONE_WAX,Bone Wax,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,compatible,No,Foot and Ankle,Confirm with scrub practitioner before opening.
SUB-0030,INV-CONS-SCALPEL_BLADE_15,Scalpel Blade #15,INV-CONS-GAUZE_SWABS_5X5,Gauze Swabs 5x5,compatible,N,Trauma,Equivalent product on current local contract.
SUB-0031,INV-CONS-BONE_CEMENT_MIXING_BOWL_KIT,Bone Cement Mixing Bowl Kit,INV-CONS-SCALPEL_BLADE_15,Scalpel Blade #15,equivalent,No,Trauma,Equivalent product on current local contract.
SUB-0032,INV-CONS-PUMP_TUBING,Pump Tubing,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,requires_approval,N,Foot and Ankle, Use only when preferred stock unavailable. 
SUB-0033,INV-CONS-SUCTION_YANKAUER_TIP,Suction Yankauer Tip,INV-CONS-SYRINGE_20ML,Syringe 20ml, requires_approval ,N,Joint Replacement,Use only when preferred stock unavailable.
 SUB-0034 ,INV-CONS-SYRINGE_50ML,Syringe 50ml,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,requires_approval,Yes,Hand Surgery, Requires surgeon approval for implant-adjacent use. 
SUB-0035,INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil,INV-CONS-ARTHROSCOPY_FLUID_3L, Arthroscopy Fluid 3L , fallback ,Yes, Foot and Ankle ,Requires surgeon approval for implant-adjacent use.
SUB-0036,INV-CONS-STERILE_GOWN,Sterile Gown,INV-CONS-BLADDER_SYRINGE,Bladder Syringe, fallback ,Y,Trauma, Requires surgeon approval for implant-adjacent use. 
SUB-0037,INV-DISP-DISPOSABLE_DRILL_BIT_2_5MM,Disposable Drill Bit 2.5mm,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,compatible,N,Foot and Ankle,Equivalent product on current local contract.
SUB-0038,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM,Arthroscopy Shaver Blade 4.0mm,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade - Oscillating,compatible,N, Foot and Ankle ,Equivalent product on current local contract.
SUB-0039,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,INV-DISP-DISPOSABLE_REAMER_LARGE,Disposable Reamer – Large, equivalent ,N, Trauma ,Requires surgeon approval for implant-adjacent use.
SUB-0040,INV-DISP-DISPOSABLE_FEMORAL_CANAL_BRUSH,Disposable Femoral Canal Brush,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA, Disposable Saw Blade - Reciprocating ,compatible,No,Foot and Ankle,Equivalent product on current local contract.
 SUB-0041 ,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade - Reciprocating,INV-DISP-DISPOSABLE_BURR_3_5MM,Disposable Burr 3.5mm,fallback,No,Hand Surgery,Equivalent product on current local contract.
SUB-0042,INV-DISP-PULSE_LAVAGE_TIP,Pulse Lavage Tip,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade – Reciprocating,requires_approval,Yes,Any,Use only when preferred stock unavailable.
SUB-0043,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set,INV-DISP-SCALPEL_BLADE_15,Scalpel Blade #15, compatible ,Yes,Any,Use only when preferred stock unavailable.
SUB-0044,INV-DISP-SCALPEL_BLADE_15,Scalpel Blade #15,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade - Oscillating, requires_approval ,N,Joint Replacement, Confirm with scrub practitioner before opening. 
SUB-0045,INV-DISP-K_WIRE_2_0MM,K-wire 2.0mm,INV-DISP-CEMENT_MIXING_CARTRIDGE,Cement Mixing Cartridge,compatible,N, Trauma , Requires surgeon approval for implant-adjacent use. 
SUB-0046,INV-DISP-DISPOSABLE_REAMER_LARGE, Disposable Reamer - Large ,INV-DISP-CEMENT_DELIVERY_GUN_NOZZLE,Cement Delivery Gun Nozzle,equivalent,No, Sports Medicine ,Use only when preferred stock unavailable.
SUB-0047,INV-DISP-DISPOSABLE_TROCAR_SET,Disposable Trocar Set,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM, Arthroscopy Shaver Blade 5.5mm ,equivalent,N, Sports Medicine , Use only when preferred stock unavailable. 
SUB-0048,INV-DISP-CEMENT_DELIVERY_GUN_NOZZLE, Cement Delivery Gun Nozzle ,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set, fallback ,Y,Foot and Ankle,Requires surgeon approval for implant-adjacent use.
