Movement Id,Item Id,Canonical Name,Lot Id,From Location Id,To Location Id,Movement Type,Quantity,Movement At,Case Id,Source System
MOVE-20260708-000023,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOT-DRES-OPSITE_FLEXIFIX-03,LOC-STOCK-04,LOC-THEATRE-02,issue,2,23/06/2026 04:46,CASE-241040,ScanTrack Theatre Inventory
MOVE-20260708-000024,INV-SUTU-ETHILON_3_0,Ethilon 3-0,LOT-SUTU-ETHILON_3_0-01,LOC-STOCK-02,LOC-THEATRE-01,issue,7,12/06/2026 16:39,CASE-248788,ScanTrack Theatre Inventory
MOVE-20260708-000025,INV-IMPL-MALLEOLAR_SCREWS,Malleolar Screws,LOT-IMPL-MALLEOLAR_SCREWS-02,,LOC-STOCK-03,receipt,2,28/06/2026 13:24,,ScanTrack Theatre Inventory
MOVE-20260708-000026,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-03,LOC-STOCK-03,LOC-THEATRE-02,issue, 1 ,12/06/2026 18:06,CASE-247327,Manual Theatre Stocktake
MOVE-20260708-000027,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-01,,LOC-STOCK-02, receipt ,4,08/06/2026 07:09,,ERP Materials Management
MOVE-20260708-000028,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-03,LOC-STOCK-02,LOC-THEATRE-01,transfer,2,02/07/2026 07:47,,ScanTrack Theatre Inventory
MOVE-20260708-000029,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,LOT-DISP-DISPOSABLE_BURR_4_0MM-01,LOC-STOCK-02,LOC-THEATRE-02,issue, 7 ,08/06/2026 01:07,CASE-240001,ERP Materials Management
MOVE-20260708-000030,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,LOT-DISP-DISPOSABLE_BURR_4_0MM-02,,LOC-STOCK-02,receipt,5,08/06/2026 00:02,N/A, ScanTrack Theatre Inventory 
MOVE-20260708-000031,INV-IMPL-DISTAL_FIBULA_PLATE_SET,Distal Fibula Plate Set,LOT-IMPL-DISTAL_FIBULA_PLATE_SET-03,,LOC-STOCK-04,receipt, 8 ,23/06/2026 18:12,N/A,ScanTrack Theatre Inventory
MOVE-20260708-000032,INV-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA,Disposable Saw Blade – Reciprocating,LOT-DISP-DISPOSABLE_SAW_BLADE_RECIPROCA-01,LOC-STOCK-02,LOC-THEATRE-02, transfer , 2 ,05/07/2026 23:09,N/A,ERP Materials Management
MOVE-20260708-000033,INV-INST-SPLASH_BOWL,Splash Bowl,LOT-INST-SPLASH_BOWL-01,LOC-STOCK-04,LOC-THEATRE-03,issue,4,01/07/2026 21:25,CASE-249865,ScanTrack Theatre Inventory
MOVE-20260708-000034,INV-CONS-PULSE_LAVAGE_TIP, Pulse Lavage Tip ,LOT-CONS-PULSE_LAVAGE_TIP-01,LOC-STOCK-01,LOC-THEATRE-03,transfer, 3 ,09/06/2026 16:17,N/A,Manual Theatre Stocktake
MOVE-20260708-000035,INV-DRAP-APPROACH_DRAPE,Approach Drape,LOT-DRAP-APPROACH_DRAPE-02,LOC-STOCK-03,LOC-THEATRE-03,issue, 7 ,08/06/2026 10:17,CASE-242675, Manual Theatre Stocktake 
MOVE-20260708-000036,INV-IMPL-FEMORAL_STEM_COMPONENT,Femoral Stem Component,LOT-IMPL-FEMORAL_STEM_COMPONENT-02,,LOC-STOCK-04,receipt, 5 ,18/06/2026 15:25,, ScanTrack Theatre Inventory 
MOVE-20260708-000037,INV-CONS-ARTHROSCOPY_FLUID_3L, Arthroscopy Fluid 3L ,LOT-CONS-ARTHROSCOPY_FLUID_3L-01,LOC-STOCK-05,LOC-THEATRE-01,issue,5,09/06/2026 04:28,CASE-243156, ScanTrack Theatre Inventory 
MOVE-20260708-000038,INV-DISP-K_WIRE_2_0MM,K-wire 2.0mm,LOT-DISP-K_WIRE_2_0MM-02,LOC-STOCK-02,LOC-THEATRE-02, transfer ,7,01/07/2026 00:21,,Manual Theatre Stocktake
MOVE-20260708-000039,INV-IMPL-COMPRESSION_SCREWS,Compression Screws,LOT-IMPL-COMPRESSION_SCREWS-01,LOC-STOCK-01,LOC-THEATRE-02,issue, 2 ,25/06/2026 16:58,CASE-242041,ScanTrack Theatre Inventory
MOVE-20260708-000040,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-02,LOC-STOCK-02,LOC-THEATRE-04,transfer, 2 ,23/06/2026 00:16,N/A,ScanTrack Theatre Inventory
MOVE-20260708-000041,INV-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P,Hand and Foot Aperture Drape Pack,LOT-DRAP-HAND_AND_FOOT_APERTURE_DRAPE_P-04,LOC-STOCK-04,LOC-THEATRE-03,issue,5,01/07/2026 08:11,CASE-243698,Manual Theatre Stocktake
MOVE-20260708-000042,INV-INST-CONMED_POWERTOOLS_WITH_TRINKLE,Conmed PowerTools with Trinkle,LOT-INST-CONMED_POWERTOOLS_WITH_TRINKLE-01,N/A,LOC-STOCK-04, receipt ,4,20/06/2026 18:26,,ERP Materials Management
MOVE-20260708-000043,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-02,,LOC-STOCK-04,receipt,5,11/06/2026 04:51,N/A,Manual Theatre Stocktake
MOVE-20260708-000044,INV-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G,Optape x 1 (uses 2 around the glove on the ankle),LOT-DRAP-OPTAPE_X_1_USES_2_AROUND_THE_G-01,LOC-STOCK-04,LOC-THEATRE-03,issue, 5 ,10/06/2026 08:30,CASE-241623,ERP Materials Management
MOVE-20260708-000045,INV-CONS-BONE_WAX,Bone Wax,LOT-CONS-BONE_WAX-02,LOC-STOCK-01,LOC-THEATRE-04,issue,3,22/06/2026 06:59,CASE-248711, ScanTrack Theatre Inventory 
MOVE-20260708-000046,INV-SUTU-NYLON_4_0,Nylon 4-0,LOT-SUTU-NYLON_4_0-04,,LOC-STOCK-05,return,7,16/06/2026 07:09,N/A, ScanTrack Theatre Inventory 
MOVE-20260708-000047,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-04,LOC-STOCK-05,LOC-THEATRE-02,issue, 3 ,01/07/2026 12:10,CASE-246206,ScanTrack Theatre Inventory
MOVE-20260708-000048,INV-DRES-TUBIGRIP_SIZE_C, Tubigrip Size C ,LOT-DRES-TUBIGRIP_SIZE_C-01,LOC-STOCK-05,LOC-THEATRE-03,issue,4,10/06/2026 07:09,CASE-246852,ScanTrack Theatre Inventory
MOVE-20260708-000049,INV-IMPL-FEMORAL_STEM_COMPONENT,Femoral Stem Component,LOT-IMPL-FEMORAL_STEM_COMPONENT-03,LOC-STOCK-05,LOC-THEATRE-03, issue , 8 ,15/06/2026 03:26,CASE-244699,Manual Theatre Stocktake
MOVE-20260708-000050,INV-IMPL-CPCS_STEM,CPCS Stem,LOT-IMPL-CPCS_STEM-01,LOC-STOCK-03,LOC-THEATRE-02,issue,5,09/06/2026 01:44,CASE-241424,Manual Theatre Stocktake
MOVE-20260708-000051,INV-DISP-SURGICAL_PATTIES,Surgical Patties,LOT-DISP-SURGICAL_PATTIES-01,,LOC-STOCK-01, adjustment ,2,09/06/2026 02:46,,ERP Materials Management
MOVE-20260708-000052,INV-DRAP-APPROACH_DRAPE,Approach Drape,LOT-DRAP-APPROACH_DRAPE-03,N/A,LOC-STOCK-04,adjustment,2,30/06/2026 11:40,, ScanTrack Theatre Inventory 
MOVE-20260708-000053,INV-EQUI-MIDAS_REX_SPINE_SHAVER_DRILL,Midas Rex Spine Shaver / Drill,LOT-EQUI-MIDAS_REX_SPINE_SHAVER_DRILL-01,N/A,LOC-STOCK-01,receipt,5,12/06/2026 18:43,,Manual Theatre Stocktake
MOVE-20260708-000054,INV-INST-CONMED_POWERTOOLS_WITH_TRINKLE,Conmed PowerTools with Trinkle,LOT-INST-CONMED_POWERTOOLS_WITH_TRINKLE-01,LOC-STOCK-04,LOC-THEATRE-04,quarantine,3,16/06/2026 04:06,N/A, Manual Theatre Stocktake 
MOVE-20260708-000055,INV-IMPL-TENODESIS_SCREW,Tenodesis Screw,LOT-IMPL-TENODESIS_SCREW-02,LOC-STOCK-03,LOC-THEATRE-01,transfer,7,07/07/2026 08:50,,ScanTrack Theatre Inventory
MOVE-20260708-000056,INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,LOT-CONS-GAUZE_SWABS_10X10-01,N/A,LOC-STOCK-04,return,1,18/06/2026 15:49,, ScanTrack Theatre Inventory 
MOVE-20260708-000057,INV-SUTU-ETHIBOND_EXCEL_5,Ethibond Excel #5,LOT-SUTU-ETHIBOND_EXCEL_5-02,N/A,LOC-STOCK-05, adjustment ,4,13/06/2026 23:10,,ScanTrack Theatre Inventory
MOVE-20260708-000058,INV-SUTU-PDS_II_2_0,PDS II 2-0,LOT-SUTU-PDS_II_2_0-02,N/A,LOC-STOCK-01,receipt,8,30/06/2026 07:56,N/A, ScanTrack Theatre Inventory 
MOVE-20260708-000059,INV-IMPL-TRAPEZIATOME_SPACER,Trapeziatome Spacer,LOT-IMPL-TRAPEZIATOME_SPACER-03,N/A,LOC-STOCK-02,return,3,04/07/2026 13:57,N/A,Manual Theatre Stocktake
MOVE-20260708-000060,INV-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK,Universal Extremity Drape Pack,LOT-DRAP-UNIVERSAL_EXTREMITY_DRAPE_PACK-01,LOC-STOCK-04,LOC-THEATRE-01,issue,7,15/06/2026 10:47,CASE-246211,ERP Materials Management
MOVE-20260708-000061,INV-DISP-K_WIRE_2_0MM,K-wire 2.0mm,LOT-DISP-K_WIRE_2_0MM-03,LOC-STOCK-02,LOC-THEATRE-03,quarantine,4,13/06/2026 11:09,,ERP Materials Management
MOVE-20260708-000062,INV-DISP-CEMENT_DELIVERY_GUN_NOZZLE,Cement Delivery Gun Nozzle,LOT-DISP-CEMENT_DELIVERY_GUN_NOZZLE-01,LOC-STOCK-01,LOC-THEATRE-03,issue, 5 ,28/06/2026 07:17,CASE-240036,ScanTrack Theatre Inventory
MOVE-20260708-000063,INV-SUTU-TIGERWIRE_2, TigerWire #2 ,LOT-SUTU-TIGERWIRE_2-01,LOC-STOCK-04,LOC-THEATRE-02,transfer,5,08/06/2026 17:43,,ScanTrack Theatre Inventory
MOVE-20260708-000064,INV-INST-SPLASH_BOWL,Splash Bowl,LOT-INST-SPLASH_BOWL-01,,LOC-STOCK-04,return,8,05/07/2026 09:12,, Manual Theatre Stocktake 
MOVE-20260708-000065,INV-INST-CASPAR_RETRACTOR_SYSTEM,Caspar Retractor System,LOT-INST-CASPAR_RETRACTOR_SYSTEM-01,LOC-STOCK-03,LOC-THEATRE-03,transfer,5,21/06/2026 21:28,N/A,ERP Materials Management
MOVE-20260708-000066,INV-INST-CPCS_TOTAL_HIP_SYSTEM, CPCS Total Hip System ,LOT-INST-CPCS_TOTAL_HIP_SYSTEM-01,LOC-STOCK-04,LOC-THEATRE-02, issue ,7,21/06/2026 20:46,CASE-240145,ERP Materials Management
MOVE-20260708-000067,INV-IMPL-CPCS_STEM, CPCS Stem ,LOT-IMPL-CPCS_STEM-02,LOC-STOCK-03,LOC-THEATRE-01, issue ,3,19/06/2026 07:24,CASE-242029,Manual Theatre Stocktake
MOVE-20260708-000068,INV-INST-CASPAR_RETRACTOR_SYSTEM,Caspar Retractor System,LOT-INST-CASPAR_RETRACTOR_SYSTEM-01,,LOC-STOCK-03,receipt,5,27/06/2026 17:03,,Manual Theatre Stocktake
MOVE-20260708-000069,INV-DISP-STEINMANN_PIN_3_0MM,Steinmann Pin 3.0mm,LOT-DISP-STEINMANN_PIN_3_0MM-03,LOC-STOCK-04,LOC-THEATRE-03,issue,7,29/06/2026 17:01,CASE-248788,Manual Theatre Stocktake
MOVE-20260708-000070,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-01,LOC-STOCK-05,LOC-THEATRE-04,quarantine,3,01/07/2026 15:14,N/A,Manual Theatre Stocktake
MOVE-20260708-000071,INV-IMPL-COMPRESSION_SCREWS,Compression Screws,LOT-IMPL-COMPRESSION_SCREWS-01,,LOC-STOCK-01,receipt,4,02/07/2026 23:08,N/A,ERP Materials Management
MOVE-20260708-000072,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM,Arthroscopy Shaver Blade 5.5mm,LOT-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM-01,N/A,LOC-STOCK-02,receipt, 7 ,18/06/2026 20:06,N/A,ScanTrack Theatre Inventory
MOVE-20260708-000073,INV-DISP-DISPOSABLE_REAMER_LARGE,Disposable Reamer - Large,LOT-DISP-DISPOSABLE_REAMER_LARGE-01,N/A,LOC-STOCK-04,return, 3 ,28/06/2026 22:39,N/A,Manual Theatre Stocktake
MOVE-20260708-000074,INV-DRES-AQUACEL_AG,Aquacel Ag,LOT-DRES-AQUACEL_AG-01,LOC-STOCK-01,LOC-THEATRE-01,quarantine, 7 ,15/06/2026 17:49,,ScanTrack Theatre Inventory
MOVE-20260708-000075,INV-IMPL-R3_ACETABULAR_CUP_COMPONENT,R3 Acetabular Cup Component,LOT-IMPL-R3_ACETABULAR_CUP_COMPONENT-01,LOC-STOCK-01,LOC-THEATRE-02,waste,6,19/06/2026 19:14,,ScanTrack Theatre Inventory
MOVE-20260708-000076,INV-DRES-TEGADERM_FOAM,Tegaderm Foam,LOT-DRES-TEGADERM_FOAM-01,,LOC-STOCK-02,return,7,02/07/2026 00:28,,ERP Materials Management
MOVE-20260708-000077,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-01,LOC-STOCK-05,LOC-THEATRE-02,waste, 3 ,22/06/2026 08:08,N/A,ScanTrack Theatre Inventory
MOVE-20260708-000078,INV-INST-DEPUY_SYNTHES_TFNA_INSTRUMENT_,DePuy Synthes TFNA Instrument Tray,LOT-INST-DEPUY_SYNTHES_TFNA_INSTRUMENT_-01,,LOC-STOCK-04, adjustment , 4 ,05/07/2026 15:10,, ScanTrack Theatre Inventory 
MOVE-20260708-000079,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade - Oscillating,LOT-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI-02,LOC-STOCK-02,LOC-THEATRE-01, issue ,7,16/06/2026 03:31,CASE-244742,Manual Theatre Stocktake
MOVE-20260708-000080,INV-IMPL-LAG_SCREW_KIT,Lag Screw Kit,LOT-IMPL-LAG_SCREW_KIT-02,N/A,LOC-STOCK-05,receipt,7,26/06/2026 17:24,,ScanTrack Theatre Inventory
MOVE-20260708-000081,INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,LOT-CONS-BETADINE_PREP_SOLUTION-02,N/A,LOC-STOCK-03,adjustment, 3 ,26/06/2026 15:31,N/A,Manual Theatre Stocktake
MOVE-20260708-000082,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-01,N/A,LOC-STOCK-04,return, 4 ,18/06/2026 11:15,N/A,ERP Materials Management
MOVE-20260708-000083,INV-IMPL-HUMERAL_TRAY,Humeral Tray,LOT-IMPL-HUMERAL_TRAY-02,N/A,LOC-STOCK-03,adjustment, 2 ,15/06/2026 03:20,, ScanTrack Theatre Inventory 
MOVE-20260708-000084,INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil,LOT-CONS-DIATHERMY_PENCIL-04,LOC-STOCK-02,LOC-THEATRE-02, issue , 4 ,02/07/2026 12:26,CASE-242167,Manual Theatre Stocktake
MOVE-20260708-000085,INV-INST-SYNTHES_LARGE_FRAGMENT_SET,Synthes Large Fragment Set,LOT-INST-SYNTHES_LARGE_FRAGMENT_SET-01,LOC-STOCK-01,LOC-THEATRE-02,issue,3,18/06/2026 14:22,CASE-240289,ScanTrack Theatre Inventory
MOVE-20260708-000086,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_1L,Irrigation Fluid 0.9% Saline 1L,LOT-CONS-IRRIGATION_FLUID_0_9_SALINE_1L-01,N/A,LOC-STOCK-04,receipt,1,20/06/2026 16:34,,Manual Theatre Stocktake
MOVE-20260708-000087,INV-IMPL-TRAPEZIATOME_SPACER,Trapeziatome Spacer,LOT-IMPL-TRAPEZIATOME_SPACER-03,LOC-STOCK-02,LOC-THEATRE-02,issue,4,22/06/2026 16:49,CASE-246980,Manual Theatre Stocktake
MOVE-20260708-000088,INV-EQUI-STRYKER_SMARTPUMP_TOURNIQUET_S, Stryker SmartPump Tourniquet System ,LOT-EQUI-STRYKER_SMARTPUMP_TOURNIQUET_S-01,LOC-STOCK-03,LOC-THEATRE-01,issue,5,02/07/2026 23:48,CASE-244411,Manual Theatre Stocktake
MOVE-20260708-000089,INV-CONS-ULTRASOUND_GEL,Ultrasound Gel,LOT-CONS-ULTRASOUND_GEL-03,N/A,LOC-STOCK-01,return,7,26/06/2026 18:15,N/A,Manual Theatre Stocktake
MOVE-20260708-000090,INV-EQUI-C_ARM_IMAGE_INTENSIFIER,C-Arm Image Intensifier,LOT-EQUI-C_ARM_IMAGE_INTENSIFIER-01,LOC-STOCK-03,LOC-THEATRE-01, issue , 1 ,23/06/2026 08:42,CASE-243473, Manual Theatre Stocktake 
MOVE-20260708-000091,INV-IMPL-HUMERAL_TRAY,Humeral Tray,LOT-IMPL-HUMERAL_TRAY-01,LOC-STOCK-01,LOC-THEATRE-01,issue,7,29/06/2026 14:07,CASE-244133,Manual Theatre Stocktake
MOVE-20260708-000092,INV-DISP-GUIDE_WIRE,Guide Wire,LOT-DISP-GUIDE_WIRE-02,LOC-STOCK-01,LOC-THEATRE-01,issue,2,07/07/2026 09:05,CASE-249040,ERP Materials Management
MOVE-20260708-000093,INV-DISP-DISPOSABLE_REAMER_LARGE, Disposable Reamer - Large ,LOT-DISP-DISPOSABLE_REAMER_LARGE-01,LOC-STOCK-04,LOC-THEATRE-03,issue, 6 ,27/06/2026 03:46,CASE-244521,ERP Materials Management
MOVE-20260708-000094,INV-SUTU-NYLON_3_0,Nylon 3-0,LOT-SUTU-NYLON_3_0-02,LOC-STOCK-04,LOC-THEATRE-01,issue,3,09/06/2026 08:22,CASE-249860,ERP Materials Management
MOVE-20260708-000095,INV-INST-ZIMMER_BIOMET_COMPREHENSIVE_SH,Zimmer Biomet Comprehensive Shoulder System,LOT-INST-ZIMMER_BIOMET_COMPREHENSIVE_SH-01,LOC-STOCK-02,LOC-THEATRE-02,transfer,4,17/06/2026 17:07,N/A,ERP Materials Management
MOVE-20260708-000096,INV-DRAP-APPROACH_DRAPE, Approach Drape ,LOT-DRAP-APPROACH_DRAPE-02,N/A,LOC-STOCK-03,return,6,24/06/2026 06:43,,ScanTrack Theatre Inventory
MOVE-20260708-000097,INV-IMPL-HUMERAL_TRAY, Humeral Tray ,LOT-IMPL-HUMERAL_TRAY-02,LOC-STOCK-03,LOC-THEATRE-02,quarantine,3,06/07/2026 00:09,,ERP Materials Management
MOVE-20260708-000098,INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,LOT-CONS-GAUZE_SWABS_10X10-02,LOC-STOCK-03,LOC-THEATRE-03, issue ,6,21/06/2026 08:14,CASE-247347,ScanTrack Theatre Inventory
MOVE-20260708-000099,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,LOT-DRES-STERI_STRIPS_12MM-03,N/A,LOC-STOCK-02,receipt, 7 ,04/07/2026 22:03,N/A,Manual Theatre Stocktake
MOVE-20260708-000100,INV-IMPL-1ST_MTP_FUSION_PLATE,1st MTP Fusion Plate,LOT-IMPL-1ST_MTP_FUSION_PLATE-04,LOC-STOCK-02,LOC-THEATRE-01,issue, 3 ,10/06/2026 17:34,CASE-244491,ScanTrack Theatre Inventory
MOVE-20260708-000101,INV-DRAP-TOTAL_HIP_DRAPE_PACK, Total Hip Drape Pack ,LOT-DRAP-TOTAL_HIP_DRAPE_PACK-01,LOC-STOCK-05,LOC-THEATRE-01, issue ,4,19/06/2026 21:50,CASE-248110,ScanTrack Theatre Inventory
MOVE-20260708-000102,INV-SUTU-ETHIBOND_EXCEL_5, Ethibond Excel #5 ,LOT-SUTU-ETHIBOND_EXCEL_5-01,N/A,LOC-STOCK-04,return,2,30/06/2026 11:13,,Manual Theatre Stocktake
MOVE-20260708-000103,INV-IMPL-SWIVELOCK_ANCHORS,SwiveLock Anchors,LOT-IMPL-SWIVELOCK_ANCHORS-03,LOC-STOCK-04,LOC-THEATRE-04,issue, 7 ,10/06/2026 08:46,CASE-244448,ERP Materials Management
MOVE-20260708-000104,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,LOT-CONS-ESCHMARK_BANDAGE-01,N/A,LOC-STOCK-05,receipt,4,11/06/2026 01:16,,ScanTrack Theatre Inventory
MOVE-20260708-000105,INV-INST-CONMED_POWERTOOLS,Conmed PowerTools,LOT-INST-CONMED_POWERTOOLS-01,N/A,LOC-STOCK-05, return , 8 ,15/06/2026 01:42,,ScanTrack Theatre Inventory
